width,height,area,success,coverage,stepsUsed,ratio
1,130,130,true,130,280,2.1538461538461537
130,1,130,true,130,250,1.9230769230769231
1,131,131,true,131,281,2.145038167938931
131,1,131,true,131,251,1.916030534351145
1,132,132,true,132,282,2.1363636363636362
132,1,132,true,132,252,1.9090909090909092
1,133,133,true,133,283,2.1278195488721803
133,1,133,true,133,253,1.9022556390977443
1,134,134,true,134,284,2.1194029850746268
134,1,134,true,134,254,1.8955223880597014
1,135,135,true,135,285,2.111111111111111
135,1,135,true,135,255,1.8888888888888888
1,136,136,true,136,286,2.1029411764705883
136,1,136,true,136,256,1.8823529411764706
1,137,137,true,137,287,2.0948905109489053
137,1,137,true,137,257,1.8759124087591241
1,138,138,true,138,288,2.0869565217391304
138,1,138,true,138,258,1.8695652173913044
1,139,139,true,139,289,2.079136690647482
139,1,139,true,139,259,1.8633093525179856
1,140,140,true,140,290,2.0714285714285716
140,1,140,true,140,260,1.8571428571428572
1,141,141,true,141,291,2.0638297872340425
141,1,141,true,141,261,1.851063829787234
1,142,142,true,142,292,2.056338028169014
142,1,142,true,142,262,1.8450704225352113
1,143,143,true,143,293,2.0489510489510487
143,1,143,true,143,263,1.8391608391608392
1,144,144,true,144,294,2.0416666666666665
144,1,144,true,144,264,1.8333333333333333
1,145,145,true,145,295,2.0344827586206895
145,1,145,true,145,265,1.8275862068965518
1,146,146,true,146,296,2.0273972602739727
146,1,146,true,146,266,1.821917808219178
1,147,147,true,147,297,2.020408163265306
147,1,147,true,147,267,1.816326530612245
1,148,148,true,148,298,2.0135135135135136
148,1,148,true,148,268,1.8108108108108107
1,149,149,true,149,299,2.0067114093959733
149,1,149,true,149,269,1.8053691275167785
1,150,150,true,150,300,2.0
150,1,150,true,150,270,1.8
1,151,151,true,151,301,1.9933774834437086
151,1,151,true,151,271,1.794701986754967
1,152,152,true,152,302,1.986842105263158
152,1,152,true,152,273,1.7960526315789473
1,153,153,true,153,334,2.183006535947712
153,1,153,true,153,303,1.9803921568627452
1,154,154,true,154,336,2.1818181818181817
154,1,154,true,154,304,1.974025974025974
1,155,155,true,155,337,2.174193548387097
155,1,155,true,155,305,1.967741935483871
1,156,156,true,156,338,2.1666666666666665
156,1,156,true,156,306,1.9615384615384615
