width,height,area,success,coverage,stepsUsed,ratio
174,1,174,true,174,187,1.0747126436781609
1,175,175,true,175,2504,14.308571428571428
175,1,175,true,175,188,1.0742857142857143
1,176,176,true,176,2524,14.340909090909092
176,1,176,true,176,189,1.0738636363636365
1,177,177,true,177,2548,14.3954802259887
177,1,177,true,177,190,1.073446327683616
1,178,178,true,178,2552,14.337078651685394
178,1,178,true,178,191,1.0730337078651686
1,179,179,true,179,2582,14.424581005586592
179,1,179,true,179,192,1.0726256983240223
1,180,180,true,180,2614,14.522222222222222
180,1,180,true,180,193,1.0722222222222222
1,181,181,true,181,2652,14.651933701657459
181,1,181,true,181,194,1.0718232044198894
1,182,182,true,182,2654,14.582417582417582
182,1,182,true,182,195,1.0714285714285714
1,183,183,true,183,2657,14.519125683060109
183,1,183,true,183,196,1.0710382513661203
1,184,184,true,184,2661,14.46195652173913
184,1,184,true,184,197,1.0706521739130435
1,185,185,true,185,2667,14.416216216216217
185,1,185,true,185,198,1.0702702702702702
1,186,186,true,186,2675,14.381720430107526
186,1,186,true,186,199,1.0698924731182795
1,187,187,true,187,2687,14.368983957219251
187,1,187,true,187,200,1.0695187165775402
1,188,188,true,188,2701,14.367021276595745
188,1,188,true,188,201,1.0691489361702127
1,189,189,true,189,2707,14.322751322751323
189,1,189,true,189,202,1.0687830687830688
1,190,190,true,190,2725,14.342105263157896
190,1,190,true,190,203,1.068421052631579
1,191,191,true,191,2745,14.3717277486911
191,1,191,true,191,204,1.068062827225131
1,192,192,true,192,2769,14.421875
192,1,192,true,192,205,1.0677083333333333
1,193,193,true,193,2773,14.367875647668393
193,1,193,true,193,206,1.067357512953368
1,194,194,true,194,2803,14.448453608247423
194,1,194,true,194,207,1.0670103092783505
1,195,195,true,195,2835,14.538461538461538
195,1,195,true,195,208,1.0666666666666667
1,196,196,true,196,2873,14.658163265306122
196,1,196,true,196,209,1.066326530612245
1,197,197,true,197,2875,14.593908629441625
197,1,197,true,197,210,1.0659898477157361
1,198,198,true,198,2878,14.535353535353535
198,1,198,true,198,211,1.0656565656565657
1,199,199,true,199,2882,14.482412060301508
199,1,199,true,199,212,1.065326633165829
1,200,200,true,200,2888,14.44
200,1,200,true,200,213,1.065
1,201,201,true,201,2896,14.407960199004975
201,1,201,true,201,214,1.064676616915423
1,202,202,true,202,2908,14.396039603960396
202,1,202,true,202,215,1.0643564356435644
1,203,203,true,203,2922,14.394088669950738
203,1,203,true,203,216,1.064039408866995
1,204,204,true,204,2928,14.352941176470589
204,1,204,true,204,217,1.0637254901960784
1,205,205,true,205,2946,14.370731707317074
205,1,205,true,205,218,1.0634146341463415
1,206,206,true,206,2966,14.398058252427184
206,1,206,true,206,219,1.0631067961165048
1,207,207,true,207,2990,14.444444444444445
207,1,207,true,207,220,1.0628019323671498
1,208,208,true,208,2994,14.39423076923077
208,1,208,true,208,222,1.0673076923076923
1,209,209,true,209,3024,14.4688995215311
209,1,209,true,209,224,1.0717703349282297
1,210,210,true,210,3056,14.552380952380952
210,1,210,true,210,225,1.0714285714285714
1,211,211,true,211,3094,14.663507109004739
211,1,211,true,211,227,1.0758293838862558
